Age, City,Favorite lipstick,Packaging ,color ,extra color, shade tone  ,color wear,use most,choosing lipstick, Price range
,,,,,,,,,,
18–24,Yangon,Glossy,Lipstick Tube/Stick,Red,,"Light, Medium",black,"BLACK ROUGE, 3CE",Price,10000–20000 MMK
18–24,Yangon,Velvet,Liquid Lipstick,"Pink, Red",,Medium,red,"Maybelline, MAC Cosmetics, 3CE, rom&nd, Revlon",Price,20000-30000 MMK
18–24,Yangon,Tint,Liquid Lipstick,"Red, Coral",,Dark,Red,"3CE, rom&nd, Chanel",Brand,10000–20000 MMK
18–24,Yangon,Matte,Lipstick Tube/Stick,Coral,,Medium,Pink,Novo,Reviews,10000–20000 MMK
18–24,Yangon,Glossy,Lipstick Palette,Pink,,Medium,Pink,rom&nd,Long lasting,20000-30000 MMK
18–24,Others,Tint,Lipstick Tube/Stick,Brown,,Light,Brown ,3CE,Long lasting,30000-40000 MMK
18–24,Yangon,Tint,Lipstick Tube/Stick,Pink,,Light,Pink,3CE,Color,Upper 40000 MMK
18–24,Yangon,Velvet,Lipstick Tube/Stick,Coral,,Medium,Colorless ,Dior,Brand,20000-30000 MMK
18–24,Yangon,Matte,Lipstick Tube/Stick,Brown,,Medium,Brown,rom&nd,Color,10000–20000 MMK
35–44,Yangon,Velvet,Lipstick Tube/Stick,Red,,Dark,Red,Revlon,Color,10000–20000 MMK
18–24,Yangon,Velvet,Lipstick Tube/Stick,Red,,"Medium, Dark",Scarlet ,rom&nd,Reviews,20000-30000 MMK
Over 45,Others,Satin,Liquid Lipstick,Red,Red and Pink,Medium,No,"Maybelline, Dior, Revlon",Brand,Upper 40000 MMK
35–44,Yangon,Matte,Lipstick Tube/Stick,Red,,Medium,red color,Maybelline,Brand,10000–20000 MMK
18–24,Yangon,Tint,Lipstick Pencil,Pink,,Dark,pink,Chanel,Price,30000-40000 MMK
18–24,Yangon,Matte,Lipstick Cream,Coral,,Medium,Red,Revlon,Color,10000–20000 MMK
18–24,Yangon,Glossy,Liquid Lipstick,"Nude, Pink, Red",,Medium,Pink & Cherry Red,rom&nd,Brand,Under 20000 MMK
25–34,Yangon,Velvet,Lipstick Tube/Stick,Coral,,Medium,Brown ,Hearty Heart,Price,20000-30000 MMK
25–34,Others,Velvet,Lipstick Tube/Stick,"Red, Coral",,Medium,Brown,"rom&nd, Revlon",Long lasting,30000-40000 MMK
18–24,Mandalay,Tint,Liquid Lipstick,"Red, Coral",,Medium,pink,rom&nd,Price,20000-30000 MMK
25–34,Others,Tint,Liquid Lipstick,Red,,Light,Red,Maybelline,Color,30000-40000 MMK
18–24,Mandalay,Tint,Liquid Lipstick,"Nude, Coral",,Medium,Pink,rom&nd,Price,20000-30000 MMK
18–24,Yangon,Velvet,Lipstick Pencil,"Nude, Red",,"Medium, Dark",Red,"BLACK ROUGE, 3CE, rom&nd",Reviews,Upper 400000 MMK
18–24,Yangon,Tint,Lipstick Pencil,Red,,Light,Red,3CE,Color,20000-30000 MMK
18–24,Yangon,Velvet,Lipstick Tube/Stick,Brown,,Dark,Brown,3CE,Brand,Upper 400000 MMK
18–24,Mandalay,Tint,Lipstick Tube/Stick,Red,,Medium,Red,MAC Cosmetics,Color,10000–20000 MMK
18–24,Mandalay,Matte,Lipstick Palette,"Red, Orange",,Medium,Black,"BLACK ROUGE, rom&nd",Color,20000-30000 MMK
18–24,Mandalay,Tint,Lipstick Cream,Red,,Medium,Red,MAC Cosmetics,Color,10000–20000 MMK
18–24,Yangon,Velvet,Lipstick Tube/Stick,Red,,Medium,red,BLACK ROUGE,Color,20000-30000 MMK
18–24,Others,Tint,Liquid Lipstick,Red,,Medium,Red,"Maybelline, 3CE",Long lasting,Upper 40000 MMK
25–34,Others,Matte,Lipstick Cream,Brown,Brown,Medium,Red,"MAC Cosmetics, ",Price,10000–20000 MMK
18–24,Yangon,Matte,Liquid Lipstick,"Nude, Coral",,Light,Light red,3CE,Long lasting,20000-30000 MMK
18–24,Others,Tint,Lipstick Pencil,Coral,,Medium,orange,MAC Cosmetics,Long lasting,20000-30000 MMK
18–24,Others,Velvet,Lipstick Tube/Stick,Red,Red,Medium,Red,rom&nd,Color,20000-30000 MMK
18–24,Yangon,Velvet,Lipstick Tube/Stick,Brown,,Dark,No,No,Brand,20000-30000 MMK
Under 18,Yangon,Velvet,Lipstick Tube/Stick,Red,,Medium,Yellow or pink or red,rom&nd,Brand,Under 20000 MMK
18–24,Mandalay,Tint,Lipstick Cream,Red,,"Light, Medium",Red,Health shop ,Reviews,20000-30000 MMK
18–24,Yangon,Tint,Lipstick Tube/Stick,Coral,,Medium,White ,3CE,Reviews,Under 20000 MMK
18–24,Others,Tint,Lipstick Pencil,"Pink, Red",,Medium,Rosepink,"rom&nd, Bella",Reviews,20000-30000 MMK
18–24,Yangon,Velvet,Liquid Lipstick,Red,Brown,Medium,Red,rom&nd,Long lasting,30000-40000 MMK
25–34,Others,Velvet,Lipstick Palette,"Coral, Coral",,Medium,Medium ,rom&nd,Color,20000-30000 MMK
18–24,Mandalay,Velvet,Lipstick Tube/Stick,Red,,Medium,white and yellow ,"rom&nd, Dior",Color,30000-40000 MMK
35–44,Yangon,Velvet,Lipstick Tube/Stick,"Red, Brown",,Medium,Deep red,"BLACK ROUGE, rom&nd, Revlon",Brand,30000-40000 MMK
18–24,Mandalay,Tint,Lipstick Palette,Nude,Red,Light,Red,MAC Cosmetics,Price,Under 20000 MMK
18–24,Mandalay,Tint,Liquid Lipstick,"Red, Coral",,Light,Red,rom&nd,Color,Under 20000 MMK
18–24,Yangon,Tint,Lipstick Tube/Stick,Coral,,Medium,သက်တံ့,"Chanel, Dior",Brand,Upper 40000 MMK
25–34,Others,Velvet,Lipstick Tube/Stick,"Red, Coral",,Light,Pink & Red orange ,"Maybelline, ",Color,Under 20000 MMK
18–24,Mandalay,Matte,Lipstick Tube/Stick,Brown,,Medium,Deep reddish brown ,rom&nd,Color,20000-30000 MMK
25–34,Others,Tint,Lipstick Tube/Stick,Coral,No,Medium,"pink , white",Bella,Color,10000–20000 MMK
18–24,Others,Matte,Liquid Lipstick,Coral,,Medium,Dark brown ,Revlon,Color,20000-30000 MMK
18–24,Others,Tint,Liquid Lipstick,Red,Brown,Light,Brown,3CE,Brand,20000-30000 MMK
18–24,Others,Velvet,Lipstick Pencil,Red,,Medium,Black ,3CE,Color,20000-30000 MMK
18–24,Mandalay,Velvet,Lipstick Tube/Stick,Nude,Brown,Dark,Brown ,3CE,Price,Under 20000 MMK
18–24,Yangon,Matte,Liquid Lipstick,Nude,,Medium,"Tan, creamy, brown & black",rom&nd,Color,20000-30000 MMK
18–24,Others,Velvet,Lipstick Tube/Stick,Nude,-,Medium,maroon,"3CE, rom&nd",Reviews,20000-30000 MMK
18–24,Others,Tint,Liquid Lipstick,Red,,Medium,red,"Maybelline, ",Brand,10000–20000 MMK
18–24,Others,Tint,Lipstick Cream,Red,Red,Light,Red,Maybelline,Price,Under 20000 MMK
18–24,Mandalay,Matte,Lipstick Tube/Stick,Pink,,Medium,Matte,GoGo Tales,Color,10000–20000 MMK
18–24,Others,Tint,Lipstick Cream,"Pink, Red",Red,Light,Red,Maybelline,Color,20000-30000 MMK
Under 18,Others,Tint,Liquid Lipstick,"Coral, Brown, ",,Medium,"Brown ,black,white and pale color","BLACK ROUGE, 3CE, rom&nd, Revlon, ",Long lasting,Upper 40000 MMK
25–34,Others,Tint,Liquid Lipstick,Nude,Nude,Dark,Brown,Revlon,Brand,Under 20000 MMK
25–34,Others,Tint,Lipstick Palette,Red,,Dark,Pink,BLACK ROUGE,Brand,30000-40000 MMK
18–24,Others,Matte,Lipstick Cream,Red,,Light,red,BLACK ROUGE,Price,Under 20000 MMK
Over 45,Others,Matte,Lipstick Cream,Nude,,Medium,pink,bella,Long lasting,10000–20000 MMK
18–24,Others,Tint,Lipstick Cream,Red,,Light,pink,"Maybelline, ",Price,Under 20000 MMK
18–24,Yangon,Tint,Liquid Lipstick,Pink,,Light,Black and white,rom&nd,Reviews,20000-30000 MMK
18–24,Yangon,Tint,Liquid Lipstick,Red,,Light,Red,3CE,Brand,30000-40000 MMK
25–34,Yangon,Velvet,Liquid Lipstick,Red,,Medium,black,"3CE, rom&nd, Chanel, Dior, Revlon",Long lasting,Upper 40000 MMK
18–24,Yangon,Tint,Liquid Lipstick,Coral,Pink,Medium,Purple ,"3CE, rom&nd, ",Color,Upper 40000 MMK
18–24,Mandalay,Velvet,Lipstick Pencil,Coral,,Light,Pink and orange,"3CE, rom&nd, Chanel",Long lasting,20000-30000 MMK
18–24,Mandalay,Glossy,Liquid Lipstick,Coral,,Medium,Red,"3CE, rom&nd",Color,30000-40000 MMK
18–24,Yangon,Tint,Lipstick Pencil,"Nude, Pink",,Light,Light pink,"Maybelline, rom&nd",Brand,20000-30000 MMK
25–34,Yangon,Glossy,Lipstick Pencil,Red,Violet,Medium,Red,3CE,Price,10000–20000 MMK
25–34,Mandalay,Matte,Lipstick Cream,"Nude, Red, Coral, Brown",pink,Medium,medium,"Maybelline, 3CE, rom&nd, Chanel, Dior, Revlon, ",Color,20000-30000 MMK
18–24,Yangon,Glossy,Lipstick Tube/Stick,Pink,,Light,Pink,Dior,Brand,Under 20000 MMK
18–24,Yangon,Velvet,Lipstick Tube/Stick,Coral,,Dark,Black,rom&nd,Color,20000-30000 MMK
18–24,Others,Velvet,Lipstick Tube/Stick,Red,,Medium,Pink ,"3CE, rom&nd, Revlon",Price,20000-30000 MMK
18–24,Yangon,Velvet,Lipstick Palette,Red,,Medium,Dark,3CE,Color,30000-40000 MMK
18–24,Yangon,Tint,Liquid Lipstick,"Nude, Pink",,Medium,Soft pink ,"Maybelline, rom&nd, Revlon",Reviews,30000-40000 MMK
18–24,Yangon,Matte,Lipstick Cream,Red,,"Light, Medium",Red,rom&nd,Brand,10000–20000 MMK
18–24,Yangon,Velvet,Liquid Lipstick,Nude,,Light,nude,Maybelline,Color,Under 20000 MMK
Over 45,Yangon,Matte,Lipstick Tube/Stick,Coral,,Medium,Blue,Revlon,Color,Upper 40000 MMK
25–34,Others,Tint,Lipstick Tube/Stick,Orange,,Dark,orange,3CE,Price,30000-40000 MMK
18–24,Yangon,Velvet,Lipstick Tube/Stick,Red,,Light,Red,rom&nd,Color,20000-30000 MMK
25–34,Yangon,Matte,Lipstick Tube/Stick,Red,,Medium,Black,"rom&nd, Novo",Price,Under 20000 MMK
18–24,Others,Matte,Liquid Lipstick,Brown,..,"Medium, Dark",nothing,nothing,Reviews,Under 20000 MMK
18–24,Yangon,Velvet,Lipstick Tube/Stick,Red,,Medium,Reds,rom&nd,Brand,20000-30000 MMK
18–24,Yangon,Matte,Lipstick Tube/Stick,"Red, Coral",,Medium,Red နဲ့ orange ကြားကာလာ,"Revlon, Bella",Brand,Under 20000 MMK
18–24,Yangon,Tint,Liquid Lipstick,Pink,,Light,Green,"rom&nd, Chanel, Dior",Brand,Upper 40000 MMK
18–24,Others,Matte,Lipstick Tube/Stick,Pink,,Medium,Pink,"rom&nd, Revlon",Color,30000-40000 MMK
18–24,Yangon,Tint,Lipstick Cream,Nude,Brown,Dark,Brown ,"Maybelline, 3CE",Brand,Upper 40000 MMK
25–34,Yangon,Tint,Liquid Lipstick,Nude,,Medium,Brown ,"MAC Cosmetics, BLACK ROUGE, rom&nd",Color,20000-30000 MMK
18–24,Others,Tint,Liquid Lipstick,Nude,,Light,brown,rom&nd,Long lasting,20000-30000 MMK
25–34,Others,Tint,Lipstick Palette,"Pink, Coral",,Light,black ,"3CE, rom&nd",Color,20000-30000 MMK
18–24,Yangon,Tint,Lipstick Palette,Nude,,Light,Reddish brown ,Novo,Color,Under 20000 MMK
18–24,Others,Matte,Lipstick Tube/Stick,Coral,,Medium,White ,rom&nd,Price,20000-30000 MMK
18–24,Others,Velvet,Lipstick Pencil,Red,အန​ီ,Light,light,rom&nd,Color,20000-30000 MMK
18–24,Others,Tint,Lipstick Tube/Stick,Coral,,Light,red,rom&nd,Price,20000-30000 MMK
18–24,Others,Tint,Lipstick Tube/Stick,Coral,,Light,Brown ,rom&nd,Price,20000-30000 MMK
18–24,Yangon,Velvet,Lipstick Cream,Brown,,Medium,Brown ,Go go tales,Long lasting,20000-30000 MMK
18–24,Yangon,Tint,Lipstick Cream,Coral,Pink,Medium,Brown ,rom&nd,Color,20000-30000 MMK
18–24,Yangon,Satin,Lipstick Tube/Stick,Coral,,Medium,Brown,Revlon,Influencer recommendation,10000–20000 MMK
35–44,Yangon,Satin,Lipstick Tube/Stick,"Nude, Coral",-,Medium,-,"Chanel, Dior, Estee Lauder ",Brand,Upper 40000 MMK
18–24,Yangon,Velvet,Lipstick Tube/Stick,"Red, Coral",Rose up,Medium,Rose up,rom&nd,Color,20000-30000 MMK
18–24,Others,Matte,Liquid Lipstick,Pink,,Medium,black ,Maybelline,Color,30000-40000 MMK
18–24,Yangon,Tint,Liquid Lipstick,"Pink, Coral",,Light,Pink,"3CE, rom&nd",Color,30000-40000 MMK
18–24,Yangon,Velvet,Lipstick Cream,Red,,Medium,Red and brown ,NOVO,Color,Under 20000 MMK
18–24,Yangon,Velvet,Lipstick Cream,Nude,,Light,Pink,Maybelline,Price,20000-30000 MMK
18–24,Others,Velvet,Liquid Lipstick,Pink,brown cazy,Medium,pink colour,"Maybelline, 3CE, Dior",Price,30000-40000 MMK
18–24,Yangon,Tint,Lipstick Cream,Brown,Brown,Dark,Brown,Novo,Brand,10000–20000 MMK
25–34,Mandalay,Matte,Liquid Lipstick,Red,,Light,Red ,"Maybelline, ",Color,Under 20000 MMK
Under 18,Others,Tint,Liquid Lipstick,Nude,,Medium,Black ,"3CE, Chanel",Color,10000–20000 MMK
35–44,Yangon,Tint,Lipstick Tube/Stick,Coral,,Medium,Brown ,Revlon,Color,10000–20000 MMK
18–24,Yangon,Velvet,Lipstick Palette,Red,အရမ်းကြိုက်,Light,အနီ,BLACK ROUGE,Color,10000–20000 MMK
18–24,Others,Tint,Lipstick Cream,Red,,Medium,Red,BLACK ROUGE,Long lasting,20000-30000 MMK
